"","Typ","Namn","Address4","Address5","RT90x","RT90y","WGS84x","WGS84y"
"495","Ombud","Ulrika Butik och Café ek. förening","ULRIKA","Östergötlands län",6444725,1478101,58.1258163458779,15.4335543531713
"496","Ombud","ICA Nära Vahlströms","HORN","Östergötlands län",6419920,1501766,57.9036488346346,15.8349849527717
"497","Ombud","Hycklinge Bensin & Service AB","HORN","Östergötlands län",6422163,1506813,57.9237399017061,15.9201697069328
"498","Ombud","Ica Supermarket Rimforsa","RIMFORSA","Östergötlands län",6445939,1492930,58.1372031013382,15.6851729858838
"499","Ombud","Pepparkvarnen Nära dig","LINKÖPING","Östergötlands län",6464232,1503482,58.3014836992265,15.8645719403167
"500","Ombud","Tempo Björsäter","ÅTVIDABERG","Östergötlands län",6465327,1515581,58.3110540434518,16.0709868675347
"501","Ombud","Sjöberga Lanthandel","ÅTVIDABERG","Östergötlands län",6452628,1533265,58.1960675556003,16.3708340004657
"502","Ombud","Handlarn i Igelfors","FINSPÅNG","Östergötlands län",6524948.44,1493879.853,58.846540426473,15.6991595999981
"503","Ombud","Coop Nära Rejmyre","REJMYRE","Östergötlands län",6523228,1507104,58.8310825503192,15.9281696491872
"504","Ombud","Matöppet Ringarum","RINGARUM","Östergötlands län",6467920,1537568,58.3330066824899,16.4464687814119
"505","Ombud","Ica Nära Bestorp","BESTORP","Östergötlands län",6456746.333,1495871.859,58.2342704964968,15.7349196270569
"506","Ombud","Skeda Udde, Pepparkvarnens livs","LINKÖPING","Östergötlands län",6430667.464,1511519.279,58.000000519799,15.9999996190602
"507","Ombud","Handlarn Nykil","NYKIL","Östergötlands län",6462826,1479015,58.2883704591244,15.4474298520468
"508","Ombud","Ica Nära Brunnby","LJUNGSBRO","Östergötlands län",6485727,1482362,58.494116859575,15.502727890952
"509","Ombud","Ica Supermarket Skärblacka","SKÄRBLACKA","Östergötlands län",6494703.937,1507710.323,58.5750004674643,15.9376995784911
"510","Ombud","Ica nära Norsholm","NORSHOLM","Östergötlands län",6486896,1509433,58.5048701630977,15.9669866758629
"511","Ombud","Coop Krokek","KOLMÅRDEN","Östergötlands län",6505946,1532428,58.6747853449762,16.3641231551321
"512","Ombud","ICA Supermarket Östra Husby","VIKBOLANDET","Östergötlands län",6495094,1544355,58.576315278242,16.5675635368458
"513","Ombud","Bottna Lanthandel","SÖDERKÖPING","Östergötlands län",6474981,1550630,58.3950830551831,16.6709589312352
"514","Ombud","Sankt Anna Handel AB","ST ANNA","Östergötlands län",6471190,1558160,58.3601194905169,16.7987451614131
"515","Ombud","Östensons Livs Borensberg","BORENSBERG","Östergötlands län",6493410,1469246,58.5623603891649,15.2767867457873
"516","Ombud","ICA Nära Fornåsa","FORNÅSA","Östergötlands län",6484060,1466199,58.478197101986,15.2258262699067
"517","Ombud","Ica Nära Tjällmo","TJÄLLMO","Östergötlands län",6510285,1474104,58.7141680105435,15.3583145509504
"518","Ombud","Coop Konsum Skänninge","SKÄNNINGE","Östergötlands län",6474602,1457982,58.3925774906281,15.0867313560924
"519","Ombud","Önnebo Lanthandel","MJÖLBY","Östergötlands län",6456488,1469071,58.2308820106481,15.2787545655948
"520","Ombud","Handlarn i Brandstorp","BRANDSTORP","Jönköpings län",6442616.007,1405651.361,58.0973705243275,14.2052297320201
